"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 18:43:32 GMT 2024","Wed Aug 07 18:43:32 GMT 2024","168","Suite","Test","crudOperaion.ReqSpec_ResSpec","crudOperaion.ReqSpec_ResSpec","test_3","test_3",""
"passed","Wed Aug 07 18:43:32 GMT 2024","Wed Aug 07 18:43:33 GMT 2024","390","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_patch","test_patch",""
"passed","Wed Aug 07 18:43:36 GMT 2024","Wed Aug 07 18:43:36 GMT 2024","11","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","mockTest","mockTest",""
"passed","Wed Aug 07 18:43:34 GMT 2024","Wed Aug 07 18:43:34 GMT 2024","61","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","getMethod","getMethod",""
"passed","Wed Aug 07 18:43:34 GMT 2024","Wed Aug 07 18:43:35 GMT 2024","367","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_Post","test_Post",""
"passed","Wed Aug 07 18:43:32 GMT 2024","Wed Aug 07 18:43:32 GMT 2024","0","Suite","Test","crudOperaion.PropertiesFileReader","crudOperaion.PropertiesFileReader","ReadpropertiesFile","ReadpropertiesFile",""
"passed","Wed Aug 07 18:43:34 GMT 2024","Wed Aug 07 18:43:34 GMT 2024","57","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_2","test_2",""
"passed","Wed Aug 07 18:43:34 GMT 2024","Wed Aug 07 18:43:34 GMT 2024","108","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_3","test_3",""
"passed","Wed Aug 07 18:43:29 GMT 2024","Wed Aug 07 18:43:32 GMT 2024","3200","Suite","Test","crudOperaion.GetCallWithAssertion","crudOperaion.GetCallWithAssertion","test_get","test_get",""
"passed","Wed Aug 07 18:43:32 GMT 2024","Wed Aug 07 18:43:32 GMT 2024","376","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_delete","test_delete",""
"passed","Wed Aug 07 18:43:35 GMT 2024","Wed Aug 07 18:43:35 GMT 2024","1","Suite","Test","crudOperaion.CsvReader","crudOperaion.CsvReader","readCsv","readCsv",""
"passed","Wed Aug 07 18:43:34 GMT 2024","Wed Aug 07 18:43:34 GMT 2024","391","Suite","Test","crudOperaion.JsonClass","crudOperaion.JsonClass","test_put","test_put",""
"passed","Wed Aug 07 18:43:36 GMT 2024","Wed Aug 07 18:43:36 GMT 2024","132","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","dynamicResponseTest","dynamicResponseTest",""
"passed","Wed Aug 07 18:43:33 GMT 2024","Wed Aug 07 18:43:34 GMT 2024","505","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator","test_schemaValidator",""
"passed","Wed Aug 07 18:43:34 GMT 2024","Wed Aug 07 18:43:34 GMT 2024","89","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator2","test_schemaValidator2",""
"passed","Wed Aug 07 18:43:33 GMT 2024","Wed Aug 07 18:43:33 GMT 2024","383","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_put","test_put",""
"passed","Wed Aug 07 18:43:35 GMT 2024","Wed Aug 07 18:43:35 GMT 2024","373","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_header","test_header",""
