"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","test_2","Suite","Wed Jul 02 05:55:40 GMT 2025","passed","Wed Jul 02 05:55:40 GMT 2025","crudOperaion.GetMethod","Test","crudOperaion.GetMethod","test_2"
"","348","test_delete","Suite","Wed Jul 02 05:55:38 GMT 2025","failed","Wed Jul 02 05:55:39 GMT 2025","crudOperaion.PutPatchDelete","Test","crudOperaion.PutPatchDelete","test_delete"
"","2311","test_get","Suite","Wed Jul 02 05:55:36 GMT 2025","failed","Wed Jul 02 05:55:38 GMT 2025","crudOperaion.GetCallWithAssertion","Test","crudOperaion.GetCallWithAssertion","test_get"
"","345","test_patch","Suite","Wed Jul 02 05:55:39 GMT 2025","failed","Wed Jul 02 05:55:39 GMT 2025","crudOperaion.PutPatchDelete","Test","crudOperaion.PutPatchDelete","test_patch"
"","341","test_Post","Suite","Wed Jul 02 05:55:41 GMT 2025","failed","Wed Jul 02 05:55:41 GMT 2025","crudOperaion.GetMethod","Test","crudOperaion.GetMethod","test_Post"
"","151","dynamicResponseTest","Suite","Wed Jul 02 05:55:42 GMT 2025","passed","Wed Jul 02 05:55:42 GMT 2025","crudOperaion.WiremockTest","Test","crudOperaion.WiremockTest","dynamicResponseTest"
"","123","test_3","Suite","Wed Jul 02 05:55:40 GMT 2025","passed","Wed Jul 02 05:55:41 GMT 2025","crudOperaion.GetMethod","Test","crudOperaion.GetMethod","test_3"
"","301","test_header","Suite","Wed Jul 02 05:55:41 GMT 2025","failed","Wed Jul 02 05:55:41 GMT 2025","crudOperaion.GetMethod","Test","crudOperaion.GetMethod","test_header"
"","166","test_3","Suite","Wed Jul 02 05:55:38 GMT 2025","passed","Wed Jul 02 05:55:38 GMT 2025","crudOperaion.ReqSpec_ResSpec","Test","crudOperaion.ReqSpec_ResSpec","test_3"
"","0","ReadpropertiesFile","Suite","Wed Jul 02 05:55:38 GMT 2025","passed","Wed Jul 02 05:55:38 GMT 2025","crudOperaion.PropertiesFileReader","Test","crudOperaion.PropertiesFileReader","ReadpropertiesFile"
"","74","test_schemaValidator2","Suite","Wed Jul 02 05:55:40 GMT 2025","passed","Wed Jul 02 05:55:40 GMT 2025","crudOperaion.JsonSchemaValidator","Test","crudOperaion.JsonSchemaValidator","test_schemaValidator2"
"","347","test_put","Suite","Wed Jul 02 05:55:40 GMT 2025","failed","Wed Jul 02 05:55:40 GMT 2025","crudOperaion.JsonClass","Test","crudOperaion.JsonClass","test_put"
"","0","readCsv","Suite","Wed Jul 02 05:55:41 GMT 2025","passed","Wed Jul 02 05:55:41 GMT 2025","crudOperaion.CsvReader","Test","crudOperaion.CsvReader","readCsv"
"","52","getMethod","Suite","Wed Jul 02 05:55:40 GMT 2025","passed","Wed Jul 02 05:55:40 GMT 2025","crudOperaion.GetMethod","Test","crudOperaion.GetMethod","getMethod"
"","416","test_schemaValidator","Suite","Wed Jul 02 05:55:39 GMT 2025","passed","Wed Jul 02 05:55:40 GMT 2025","crudOperaion.JsonSchemaValidator","Test","crudOperaion.JsonSchemaValidator","test_schemaValidator"
"","10","mockTest","Suite","Wed Jul 02 05:55:42 GMT 2025","passed","Wed Jul 02 05:55:42 GMT 2025","crudOperaion.WiremockTest","Test","crudOperaion.WiremockTest","mockTest"
"","320","test_put","Suite","Wed Jul 02 05:55:39 GMT 2025","failed","Wed Jul 02 05:55:39 GMT 2025","crudOperaion.PutPatchDelete","Test","crudOperaion.PutPatchDelete","test_put"
